Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
173688,26,Variant 613,613,01.10.2011 08:38:44,13.10.2011 18:37:37,"12 days, 9 hours",1072732480
173691,39,Variant 614,614,01.10.2011 16:08:58,10.10.2011 22:17:34,"9 days, 6 hours",799716377
173694,59,Variant 615,615,01.10.2011 16:10:30,15.02.2012 21:29:26,"137 days, 5 hours",11855936012
173697,3,Variant 1,1,01.10.2011 16:11:08,01.10.2011 16:11:46,"37 secs, 554 millis",37554
173700,3,Variant 1,1,01.10.2011 16:15:39,01.10.2011 16:16:21,"41 secs, 143 millis",41143
173703,9,Variant 9,9,01.10.2011 17:45:25,01.10.2011 21:02:12,"3 hours, 16 mins",11806751
173706,14,Variant 10,10,01.10.2011 17:45:37,01.10.2011 23:00:02,"5 hours, 14 mins",18865263
173709,12,Variant 49,49,01.10.2011 17:57:42,01.11.2011 18:15:08,"31 days, 17 mins",2679445393
173712,14,Variant 27,27,01.10.2011 17:58:30,03.10.2011 22:42:55,"2 days, 4 hours",189865051
173715,24,Variant 114,114,01.10.2011 17:59:10,13.10.2011 19:05:28,"12 days, 1 hour",1040777581
173718,77,Variant 616,616,01.10.2011 18:37:39,27.10.2011 17:18:01,"25 days, 22 hours",2241622427
173721,35,Variant 617,617,01.10.2011 19:07:34,11.10.2011 00:28:29,"9 days, 5 hours",796855639
173724,20,Variant 103,103,01.10.2011 19:52:14,03.10.2011 23:48:20,"2 days, 3 hours",186966200
173727,3,Variant 1,1,01.10.2011 20:08:46,01.10.2011 20:09:30,"43 secs, 699 millis",43699
173730,76,Variant 618,618,01.10.2011 20:36:08,21.10.2011 17:08:21,"19 days, 20 hours",1715532568
173733,6,Variant 2,2,01.10.2011 20:39:34,01.10.2011 22:54:56,"2 hours, 15 mins",8122309
173736,55,Variant 619,619,01.10.2011 21:01:58,18.10.2011 20:01:37,"16 days, 22 hours",1465178997
173739,48,Variant 620,620,01.10.2011 21:12:58,15.10.2011 00:22:55,"13 days, 3 hours",1134596991
173742,40,Variant 184,184,01.10.2011 21:44:12,14.10.2011 23:52:09,"13 days, 2 hours",1130876516
173745,19,Variant 102,102,01.10.2011 22:08:16,08.10.2011 20:45:59,"6 days, 22 hours",599863578
173748,38,Variant 621,621,01.10.2011 22:09:16,04.10.2011 00:44:24,"2 days, 2 hours",182107961
173751,24,Variant 622,622,01.10.2011 22:14:39,11.10.2011 18:39:37,"9 days, 20 hours",851098268
173754,42,Variant 623,623,01.10.2011 22:50:09,14.10.2011 22:28:41,"12 days, 23 hours",1121912096
173757,3,Variant 1,1,01.10.2011 23:02:58,01.10.2011 23:03:36,"37 secs, 588 millis",37588
173760,26,Variant 624,624,01.10.2011 23:15:17,14.10.2011 23:41:11,"13 days, 25 mins",1124753739
173763,6,Variant 2,2,02.10.2011 00:09:22,02.10.2011 00:38:43,"29 mins, 21 secs",1761029
173766,29,Variant 95,95,02.10.2011 00:12:02,07.10.2011 04:52:12,"5 days, 4 hours",448809900
173769,3,Variant 1,1,02.10.2011 00:34:46,02.10.2011 00:35:23,"36 secs, 499 millis",36499
173772,3,Variant 1,1,02.10.2011 00:39:55,02.10.2011 00:40:31,"35 secs, 277 millis",35277
173775,9,Variant 8,8,02.10.2011 00:59:00,03.10.2011 18:38:04,"1 day, 17 hours",149944443
173778,6,Variant 2,2,02.10.2011 01:49:31,03.10.2011 17:04:57,"1 day, 15 hours",141326464
173781,7,Variant 5,5,02.10.2011 02:10:34,03.10.2011 17:25:12,"1 day, 15 hours",141277848
173784,108,Variant 625,625,02.10.2011 03:05:56,15.11.2011 21:50:36,"44 days, 18 hours",3869079954
173787,35,Variant 378,378,02.10.2011 03:06:01,20.10.2011 02:51:57,"17 days, 23 hours",1554355510
173790,28,Variant 626,626,02.10.2011 03:14:15,10.10.2011 22:22:43,"8 days, 19 hours",760108114
173793,36,Variant 627,627,02.10.2011 03:32:46,18.10.2011 19:25:11,"16 days, 15 hours",1439545485
173796,20,Variant 53,53,02.10.2011 04:19:11,11.10.2011 01:23:56,"8 days, 21 hours",767084409
173799,13,Variant 17,17,02.10.2011 04:27:34,05.10.2011 02:30:30,"2 days, 22 hours",252175603
173802,6,Variant 2,2,02.10.2011 04:35:21,03.10.2011 17:07:20,"1 day, 12 hours",131519238
173805,41,Variant 628,628,02.10.2011 05:07:54,03.11.2011 18:15:16,"32 days, 13 hours",2812041804
173808,3,Variant 1,1,02.10.2011 05:24:58,02.10.2011 05:25:39,"40 secs, 851 millis",40851
173811,48,Variant 629,629,02.10.2011 06:59:29,03.11.2011 18:15:25,"32 days, 11 hours",2805356087
173814,10,Variant 4,4,02.10.2011 07:01:43,03.10.2011 19:15:49,"1 day, 12 hours",130446134
173817,29,Variant 382,382,02.10.2011 08:57:28,11.10.2011 17:15:48,"9 days, 8 hours",807499546
173820,3,Variant 1,1,02.10.2011 09:39:06,02.10.2011 09:39:50,"43 secs, 258 millis",43258
173823,24,Variant 366,366,02.10.2011 17:23:29,13.10.2011 17:36:24,"11 days, 12 mins",951175385
173826,20,Variant 197,197,02.10.2011 17:39:10,03.10.2011 22:39:28,"1 day, 5 hours",104417578
173829,12,Variant 19,19,02.10.2011 17:54:34,03.10.2011 17:38:50,"23 hours, 44 mins",85456738
173832,3,Variant 1,1,02.10.2011 17:54:39,02.10.2011 17:55:24,"44 secs, 699 millis",44699
173835,30,Variant 288,288,02.10.2011 18:20:29,18.10.2011 22:12:46,"16 days, 3 hours",1396336364
173838,3,Variant 1,1,02.10.2011 18:52:41,02.10.2011 18:53:22,"41 secs, 569 millis",41569
173841,11,Variant 11,11,02.10.2011 18:57:22,04.10.2011 21:59:22,"2 days, 3 hours",183719600
173844,26,Variant 630,630,02.10.2011 19:03:26,11.10.2011 22:57:09,"9 days, 3 hours",791622780
173847,20,Variant 166,166,02.10.2011 19:26:19,12.10.2011 18:52:13,"9 days, 23 hours",861954365
173850,3,Variant 1,1,02.10.2011 19:30:23,02.10.2011 19:31:03,"39 secs, 793 millis",39793
173853,3,Variant 1,1,02.10.2011 19:33:24,02.10.2011 19:33:58,"34 secs, 90 millis",34090
173856,8,Variant 3,3,02.10.2011 19:45:33,03.10.2011 17:26:39,"21 hours, 41 mins",78065700
173859,21,Variant 119,119,02.10.2011 19:47:41,11.10.2011 00:43:55,"8 days, 4 hours",708973819
173862,6,Variant 2,2,02.10.2011 20:04:39,03.10.2011 17:30:10,"21 hours, 25 mins",77131391
173865,3,Variant 1,1,02.10.2011 20:17:02,02.10.2011 20:17:48,"45 secs, 435 millis",45435
173868,28,Variant 170,170,02.10.2011 20:24:18,26.10.2011 16:07:39,"23 days, 19 hours",2058200783
173871,36,Variant 274,274,02.10.2011 21:05:34,14.10.2011 18:05:57,"11 days, 21 hours",1026022388
173874,3,Variant 1,1,02.10.2011 21:10:37,02.10.2011 21:10:40,"3 secs, 363 millis",3363
173877,3,Variant 1,1,02.10.2011 21:21:47,02.10.2011 21:22:28,"41 secs, 577 millis",41577
173880,61,Variant 631,631,02.10.2011 21:24:15,04.11.2011 22:09:47,"33 days, 45 mins",2853931581
173883,3,Variant 1,1,02.10.2011 21:46:35,02.10.2011 21:46:38,"2 secs, 195 millis",2195
173886,3,Variant 1,1,02.10.2011 21:52:34,02.10.2011 21:53:12,"38 secs, 845 millis",38845
173889,6,Variant 2,2,02.10.2011 22:42:12,03.10.2011 17:36:33,"18 hours, 54 mins",68061701
173892,3,Variant 1,1,02.10.2011 22:53:44,02.10.2011 22:54:21,"36 secs, 611 millis",36611
173895,3,Variant 1,1,03.10.2011 00:03:10,03.10.2011 00:03:50,"40 secs, 298 millis",40298
173898,27,Variant 551,551,03.10.2011 00:05:39,14.10.2011 04:00:48,"11 days, 3 hours",964509010
173901,6,Variant 2,2,03.10.2011 00:12:08,03.10.2011 17:33:46,"17 hours, 21 mins",62498100
173904,6,Variant 2,2,03.10.2011 00:52:36,03.10.2011 17:35:23,"16 hours, 42 mins",60166636
173907,3,Variant 1,1,03.10.2011 00:53:33,03.10.2011 00:54:13,"40 secs, 473 millis",40473
173910,3,Variant 1,1,03.10.2011 01:17:43,03.10.2011 01:18:26,"42 secs, 643 millis",42643
173913,28,Variant 396,396,03.10.2011 01:18:05,13.10.2011 00:01:06,"9 days, 22 hours",859381228
173916,10,Variant 68,68,03.10.2011 01:45:59,03.10.2011 19:19:30,"17 hours, 33 mins",63211522
173919,18,Variant 86,86,03.10.2011 01:55:10,04.10.2011 20:04:02,"1 day, 18 hours",151731861
173922,3,Variant 1,1,03.10.2011 01:56:36,03.10.2011 01:57:17,"41 secs, 121 millis",41121
173925,12,Variant 7,7,03.10.2011 02:00:06,03.10.2011 20:23:42,"18 hours, 23 mins",66216940
173928,115,Variant 632,632,03.10.2011 02:30:01,29.11.2011 18:27:33,"57 days, 15 hours",4982252326
173931,3,Variant 1,1,03.10.2011 03:27:33,03.10.2011 03:28:11,"38 secs, 111 millis",38111
173934,6,Variant 2,2,03.10.2011 04:05:03,03.10.2011 17:29:09,"13 hours, 24 mins",48245818
173937,32,Variant 23,23,03.10.2011 05:07:34,02.11.2011 18:15:09,"30 days, 13 hours",2639254435
173940,48,Variant 633,633,03.10.2011 05:08:02,14.10.2011 16:30:29,"11 days, 11 hours",991346776
173943,46,Variant 305,305,03.10.2011 06:11:52,03.11.2011 18:15:32,"31 days, 12 hours",2721820007
173946,21,Variant 225,225,03.10.2011 06:51:17,03.11.2011 18:15:22,"31 days, 11 hours",2719445291
173949,48,Variant 634,634,03.10.2011 07:12:15,31.10.2011 23:34:00,"28 days, 16 hours",2478104840
173952,3,Variant 1,1,03.10.2011 07:13:39,03.10.2011 07:14:30,"50 secs, 787 millis",50787
173955,89,Variant 635,635,03.10.2011 07:15:19,30.11.2011 00:05:31,"57 days, 16 hours",4985412075
173958,22,Variant 32,32,03.10.2011 07:18:42,02.11.2011 18:15:12,"30 days, 10 hours",2631389987
173961,6,Variant 2,2,03.10.2011 07:19:50,03.10.2011 17:23:39,"10 hours, 3 mins",36228877
173964,10,Variant 13,13,03.10.2011 07:43:30,03.10.2011 19:33:34,"11 hours, 50 mins",42604192
173979,24,Variant 452,452,03.10.2011 16:09:57,11.10.2011 22:01:53,"8 days, 5 hours",712315983
173982,18,Variant 55,55,03.10.2011 17:30:51,11.10.2011 01:27:04,"7 days, 7 hours",633372934
173985,25,Variant 636,636,03.10.2011 17:34:18,13.10.2011 18:26:10,"10 days, 51 mins",867111780
173988,21,Variant 190,190,03.10.2011 17:52:42,11.10.2011 00:32:20,"7 days, 6 hours",628777946
173991,3,Variant 1,1,03.10.2011 18:07:17,03.10.2011 18:07:55,"37 secs, 784 millis",37784
173994,3,Variant 1,1,03.10.2011 18:33:48,03.10.2011 18:34:40,"52 secs, 171 millis",52171
173997,26,Variant 263,263,03.10.2011 18:38:11,19.10.2011 18:30:58,"15 days, 23 hours",1381966748
174000,40,Variant 637,637,03.10.2011 18:39:02,03.11.2011 18:15:19,"30 days, 23 hours",2676977420
174003,3,Variant 1,1,03.10.2011 18:58:38,03.10.2011 18:59:21,"43 secs, 249 millis",43249
174006,6,Variant 2,2,03.10.2011 18:59:25,03.10.2011 20:10:48,"1 hour, 11 mins",4283679
174009,32,Variant 638,638,03.10.2011 19:00:00,13.10.2011 17:35:30,"9 days, 22 hours",858929742
174012,41,Variant 639,639,03.10.2011 19:06:41,19.10.2011 01:35:56,"15 days, 6 hours",1319354657
174015,6,Variant 2,2,03.10.2011 19:19:52,03.10.2011 20:12:57,"53 mins, 4 secs",3184706
174018,22,Variant 43,43,03.10.2011 19:21:10,17.10.2011 19:35:07,"14 days, 13 mins",1210436558
174021,6,Variant 2,2,03.10.2011 19:33:52,03.10.2011 20:14:47,"40 mins, 54 secs",2454740
174024,14,Variant 10,10,03.10.2011 19:48:34,03.10.2011 22:46:01,"2 hours, 57 mins",10647359
174027,6,Variant 2,2,03.10.2011 19:52:28,03.10.2011 20:18:16,"25 mins, 48 secs",1548185
174030,64,Variant 640,640,03.10.2011 19:55:53,05.11.2011 02:47:06,"32 days, 6 hours",2789472656
174033,3,Variant 1,1,03.10.2011 20:01:34,03.10.2011 20:02:19,"44 secs, 917 millis",44917
174036,60,Variant 641,641,03.10.2011 20:02:51,18.10.2011 19:06:58,"14 days, 23 hours",1292647362
174039,50,Variant 642,642,03.10.2011 20:09:32,27.10.2011 18:01:40,"23 days, 21 hours",2065927715
174042,42,Variant 643,643,03.10.2011 20:10:17,12.10.2011 00:43:18,"8 days, 4 hours",707580239
174045,50,Variant 644,644,03.10.2011 20:15:14,18.10.2011 18:10:42,"14 days, 21 hours",1288527436
174048,7,Variant 5,5,03.10.2011 20:25:48,03.10.2011 20:27:54,"2 mins, 5 secs",125719
174051,8,Variant 3,3,03.10.2011 20:27:32,03.10.2011 21:29:33,"1 hour, 2 mins",3720533
174054,3,Variant 1,1,03.10.2011 20:35:21,03.10.2011 20:36:00,"38 secs, 930 millis",38930
174057,3,Variant 1,1,03.10.2011 20:47:46,03.10.2011 20:48:19,"32 secs, 864 millis",32864
174060,127,Variant 645,645,03.10.2011 20:55:00,13.12.2011 18:44:26,"70 days, 21 hours",6126565632
174063,3,Variant 1,1,03.10.2011 20:59:32,03.10.2011 21:00:16,"43 secs, 788 millis",43788
174066,3,Variant 1,1,03.10.2011 21:01:28,03.10.2011 21:02:25,"57 secs, 132 millis",57132
174069,60,Variant 646,646,03.10.2011 21:05:44,14.10.2011 00:28:42,"10 days, 3 hours",876178428
174072,6,Variant 2,2,03.10.2011 21:18:01,03.10.2011 21:37:16,"19 mins, 15 secs",1155188
174075,6,Variant 2,2,03.10.2011 21:22:34,03.10.2011 21:31:16,"8 mins, 42 secs",522069
174078,30,Variant 647,647,03.10.2011 21:23:45,18.10.2011 04:11:25,"14 days, 6 hours",1234059936
174081,3,Variant 1,1,03.10.2011 21:26:11,03.10.2011 21:26:50,"39 secs, 399 millis",39399
174084,41,Variant 648,648,03.10.2011 21:26:26,04.10.2011 18:17:33,"20 hours, 51 mins",75066105
174087,26,Variant 339,339,03.10.2011 21:46:48,11.10.2011 19:49:21,"7 days, 22 hours",684153763
