Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
1-109135791,5,Variant 77,77,12.01.2006 00:49:42,15.03.2012 21:11:33,"6 years, 64 days",194818911000
1-147898401,6,Variant 78,78,07.11.2006 19:00:36,20.01.2012 19:23:27,"5 years, 75 days",164161371000
1-165554831,5,Variant 23,23,20.03.2007 18:06:25,18.01.2012 17:52:43,"4 years, 304 days",152495178000
1-172473423,5,Variant 23,23,11.05.2007 00:21:54,18.01.2012 17:21:10,"4 years, 253 days",148064356000
1-182640781,7,Variant 37,37,25.07.2007 22:21:05,03.01.2012 20:31:53,"4 years, 162 days",140220648000
1-230541365,7,Variant 79,79,08.05.2008 02:58:51,20.01.2012 16:53:35,"3 years, 257 days",116862884000
1-236817141,7,Variant 37,37,04.06.2008 20:02:18,05.01.2012 23:09:00,"3 years, 215 days",113195202000
1-270399977,8,Variant 80,80,13.11.2008 18:43:32,19.03.2012 18:26:32,"3 years, 126 days",105579780000
1-270427461,5,Variant 23,23,13.11.2008 20:01:04,18.01.2012 19:19:21,"3 years, 65 days",100307897000
1-310231291,3,Variant 4,4,25.06.2009 17:47:52,28.03.2012 21:12:08,"2 years, 277 days",87017056000
1-316086072,9,Variant 81,81,11.08.2009 16:44:51,20.02.2012 06:57:21,"2 years, 192 days",79711950000
1-320604521,3,Variant 42,42,07.09.2009 22:33:24,30.04.2012 20:21:43,"2 years, 235 days",83454499000
1-322204195,10,Variant 82,82,17.09.2009 06:42:12,24.05.2012 19:03:31,"2 years, 250 days",84716479000
1-322581861,3,Variant 42,42,18.09.2009 20:50:02,13.03.2012 20:53:35,"2 years, 177 days",78365013000
1-322980802,2,Variant 1,1,21.09.2009 22:13:43,07.02.2012 22:22:11,"2 years, 139 days",75082108000
1-323264491,3,Variant 10,10,22.09.2009 22:22:05,24.05.2012 18:57:49,"2 years, 244 days",84227744000
1-323462732,9,Variant 83,83,23.09.2009 19:52:27,19.04.2012 18:01:38,"2 years, 208 days",81122951000
1-327329880,5,Variant 23,23,15.10.2009 02:12:54,01.02.2012 18:46:57,"2 years, 109 days",72549243000
1-329451027,10,Variant 84,84,26.10.2009 23:47:10,30.03.2012 18:53:53,"2 years, 155 days",76532803000
1-329647261,9,Variant 85,85,27.10.2009 18:42:40,19.01.2012 17:55:41,"2 years, 83 days",70326781000
1-330634474,6,Variant 86,86,30.10.2009 22:49:04,30.03.2012 18:54:30,"2 years, 151 days",76190726000
1-331478885,7,Variant 87,87,04.11.2009 17:07:28,02.04.2012 18:19:30,"2 years, 150 days",76036322000
1-332389008,6,Variant 88,88,10.11.2009 01:38:14,13.04.2012 21:41:36,"2 years, 155 days",76536202000
1-333164156,13,Variant 89,89,12.11.2009 22:41:27,30.03.2012 19:45:20,"2 years, 138 days",75071033000
1-335260940,5,Variant 90,90,24.11.2009 18:44:43,18.01.2012 23:26:41,"2 years, 55 days",67840918000
1-337229341,4,Variant 91,91,04.12.2009 21:10:14,15.04.2012 01:22:21,"2 years, 132 days",74491927000
1-338946805,3,Variant 4,4,14.12.2009 23:29:17,10.01.2012 18:33:57,"2 years, 26 days",65387080000
1-339798202,3,Variant 4,4,16.12.2009 21:59:24,15.03.2012 21:21:47,"2 years, 89 days",70845743000
1-339889001,3,Variant 4,4,17.12.2009 05:47:26,14.03.2012 22:07:29,"2 years, 88 days",70734003000
1-340984229,3,Variant 42,42,22.12.2009 18:09:31,01.02.2012 21:38:06,"2 years, 41 days",66626915000
1-341002175,3,Variant 33,33,22.12.2009 19:56:03,01.02.2012 21:40:25,"2 years, 41 days",66620662000
1-342442140,2,Variant 1,1,06.01.2010 01:42:20,21.03.2012 01:14:00,"2 years, 74 days",69550300000
1-345132462,7,Variant 92,92,14.01.2010 19:34:54,01.02.2012 19:24:59,"2 years, 17 days",64626605000
1-345255471,5,Variant 31,31,15.01.2010 00:02:21,08.02.2012 17:14:29,"2 years, 24 days",65207528000
1-347461373,3,Variant 4,4,22.01.2010 01:42:26,12.04.2012 00:39:02,"2 years, 80 days",70066596000
1-347923966,6,Variant 71,71,25.01.2010 18:19:08,28.03.2012 22:39:49,"2 years, 63 days",68530841000
1-347924629,4,Variant 14,14,25.01.2010 16:44:36,30.03.2012 21:24:18,"2 years, 65 days",68704782000
1-349857482,2,Variant 1,1,27.01.2010 22:58:09,29.02.2012 21:20:13,"2 years, 32 days",65917324000
1-351187625,3,Variant 4,4,03.02.2010 00:50:20,12.04.2012 00:40:09,"2 years, 68 days",69032989000
1-351314317,6,Variant 2,2,03.02.2010 18:34:32,03.01.2012 22:13:02,"1 year, 334 days",60406710000
