Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
3004646,36,Variant 17,17,04.10.2010 08:00:00,02.11.2010 19:16:06,"29 days, 11 hours",2546166000
3007101,18,Variant 18,18,04.10.2010 08:00:00,25.10.2010 22:52:59,"21 days, 14 hours",1867979000
3018942,39,Variant 19,19,11.10.2010 08:00:00,15.11.2010 22:40:18,"35 days, 14 hours",3076818000
3025465,61,Variant 20,20,14.10.2010 08:00:00,05.11.2011 09:00:00,"1 year, 22 days",33440400000
3032460,38,Variant 21,21,14.10.2010 08:00:00,21.12.2010 23:50:24,"68 days, 15 hours",5932224000
3033681,60,Variant 22,22,14.10.2010 08:00:00,23.12.2010 00:04:05,"69 days, 16 hours",6019445000
3034472,35,Variant 23,23,14.10.2010 08:00:00,26.11.2010 20:35:51,"43 days, 12 hours",3760551000
3035150,37,Variant 24,24,15.10.2010 08:00:00,21.03.2011 20:30:55,"157 days, 12 hours",13609855000
3036605,48,Variant 25,25,18.10.2010 08:00:00,14.01.2011 18:58:22,"88 days, 10 hours",7642702000
3041957,42,Variant 26,26,20.10.2010 08:00:00,20.01.2011 00:58:03,"91 days, 16 hours",7923483000
3046524,47,Variant 27,27,20.10.2010 08:00:00,20.01.2011 01:12:27,"91 days, 17 hours",7924347000
3047823,29,Variant 28,28,20.10.2010 08:00:00,24.01.2011 23:02:16,"96 days, 15 hours",8348536000
3055383,44,Variant 29,29,21.10.2010 08:00:00,24.01.2011 20:34:42,"95 days, 12 hours",8253282000
3056353,63,Variant 30,30,19.10.2010 08:00:00,24.01.2011 20:53:49,"97 days, 12 hours",8427229000
3056780,4,Variant 9,9,25.10.2010 20:00:09,25.10.2010 20:14:01,"13 mins, 52 secs",832000
3057453,4,Variant 9,9,25.10.2010 20:15:09,25.10.2010 20:31:18,"16 mins, 9 secs",969000
3061846,40,Variant 31,31,24.10.2010 08:00:00,17.12.2010 19:26:26,"54 days, 11 hours",4706786000
3063618,43,Variant 32,32,21.10.2010 08:00:00,24.01.2011 20:44:50,"95 days, 12 hours",8253890000
3068783,46,Variant 33,33,29.10.2010 08:00:00,22.01.2011 09:00:00,"85 days, 1 hour",7347600000
3075748,38,Variant 34,34,28.10.2010 08:00:00,10.01.2011 23:12:25,"74 days, 15 hours",6448345000
3077701,41,Variant 35,35,01.11.2010 09:00:00,10.01.2011 22:40:44,"70 days, 13 hours",6097244000
3080906,37,Variant 36,36,02.11.2010 09:00:00,13.12.2010 21:53:52,"41 days, 12 hours",3588832000
3083718,38,Variant 37,37,02.11.2010 09:00:00,24.12.2010 00:00:13,"51 days, 15 hours",4460413000
3085866,34,Variant 38,38,03.11.2010 09:00:00,25.11.2010 20:23:18,"22 days, 11 hours",1941798000
3086292,39,Variant 39,39,03.11.2010 09:00:00,29.11.2010 18:48:51,"26 days, 9 hours",2281731000
3087456,3,Variant 7,7,29.10.2010 08:00:00,05.11.2010 19:11:08,"7 days, 11 hours",645068000
3088460,3,Variant 7,7,29.10.2010 08:00:00,05.11.2010 19:21:55,"7 days, 11 hours",645715000
3090877,54,Variant 40,40,01.01.2010 09:00:00,08.06.2011 08:00:00,"1 year, 157 days",45183600000
3091829,55,Variant 41,41,03.11.2010 09:00:00,29.07.2011 17:39:06,"268 days, 8 hours",23186346000
3092082,39,Variant 42,42,04.11.2010 09:00:00,25.11.2010 22:13:49,"21 days, 13 hours",1862029000
3092553,38,Variant 43,43,05.11.2010 09:00:00,04.01.2011 17:51:46,"60 days, 8 hours",5215906000
3093943,39,Variant 44,44,07.11.2010 09:00:00,04.01.2011 21:29:35,"58 days, 12 hours",5056175000
3095076,38,Variant 45,45,05.11.2010 09:00:00,24.12.2010 00:33:14,"48 days, 15 hours",4203194000
3096582,3,Variant 7,7,05.11.2010 09:00:00,09.11.2010 20:59:42,"4 days, 11 hours",388782000
3097545,40,Variant 46,46,08.11.2010 09:00:00,23.12.2010 23:07:56,"45 days, 14 hours",3938876000
3097839,33,Variant 47,47,08.11.2010 09:00:00,31.03.2011 23:40:41,"143 days, 14 hours",12408041000
3098528,36,Variant 48,48,05.11.2010 09:00:00,29.11.2010 19:22:44,"24 days, 10 hours",2110964000
3100133,36,Variant 49,49,09.11.2010 09:00:00,13.12.2010 20:32:17,"34 days, 11 hours",2979137000
3102005,53,Variant 50,50,09.11.2010 09:00:00,26.01.2011 23:48:08,"78 days, 14 hours",6792488000
3108423,6,Variant 51,51,11.11.2010 09:00:00,12.11.2010 20:39:49,"1 day, 11 hours",128389000
3109097,38,Variant 52,52,11.11.2010 09:00:00,20.12.2010 22:48:31,"39 days, 13 hours",3419311000
3115123,38,Variant 53,53,12.11.2010 09:00:00,14.12.2010 22:00:50,"32 days, 13 hours",2811650000
3116082,38,Variant 54,54,11.11.2010 09:00:00,06.01.2011 23:24:09,"56 days, 14 hours",4890249000
3116116,36,Variant 55,55,11.11.2010 09:00:00,29.11.2010 20:09:36,"18 days, 11 hours",1595376000
3118423,5,Variant 2,2,14.11.2010 09:00:00,16.11.2010 20:37:42,"2 days, 11 hours",214662000
3119591,40,Variant 56,56,15.11.2010 09:00:00,06.01.2011 16:57:18,"52 days, 7 hours",4521438000
3119869,49,Variant 57,57,12.11.2010 09:00:00,21.01.2011 09:00:00,70 days,6048000000
3121492,38,Variant 58,58,15.11.2010 09:00:00,23.12.2010 23:23:11,"38 days, 14 hours",3334991000
3128786,38,Variant 59,59,15.11.2010 09:00:00,14.12.2010 22:33:54,"29 days, 13 hours",2554434000
3132644,37,Variant 60,60,16.11.2010 09:00:00,23.12.2010 21:36:08,"37 days, 12 hours",3242168000
3133945,38,Variant 61,61,17.11.2010 09:00:00,20.12.2010 22:14:29,"33 days, 13 hours",2898869000
3134210,39,Variant 62,62,17.11.2010 09:00:00,21.09.2011 16:28:25,"308 days, 7 hours",26638105000
3141366,38,Variant 63,63,21.11.2010 09:00:00,28.01.2011 19:22:15,"68 days, 10 hours",5912535000
3144223,49,Variant 64,64,19.11.2010 09:00:00,12.02.2011 09:00:00,85 days,7344000000
3146012,45,Variant 65,65,22.11.2010 09:00:00,16.12.2010 17:56:52,"24 days, 8 hours",2105812000
3147171,40,Variant 66,66,22.11.2010 09:00:00,05.03.2011 09:00:00,103 days,8899200000
3151799,40,Variant 67,67,24.11.2010 09:00:00,06.01.2011 00:09:08,"42 days, 15 hours",3683348000
3158008,56,Variant 68,68,24.11.2010 09:00:00,20.01.2011 00:17:56,"56 days, 15 hours",4893476000
3159043,40,Variant 69,69,26.11.2010 09:00:00,05.01.2011 23:39:30,"40 days, 14 hours",3508770000
3163934,38,Variant 70,70,26.11.2010 09:00:00,14.01.2011 20:38:51,"49 days, 11 hours",4275531000
3172826,38,Variant 71,71,01.12.2010 09:00:00,10.01.2011 18:46:47,"40 days, 9 hours",3491207000
3179463,38,Variant 72,72,01.12.2010 09:00:00,23.12.2010 22:17:14,"22 days, 13 hours",1948634000
3180443,18,Variant 73,73,02.12.2010 09:00:00,08.12.2010 09:00:00,6 days,518400000
3180724,20,Variant 74,74,08.11.2010 09:00:00,06.01.2011 17:39:45,"59 days, 8 hours",5128785000
3181224,38,Variant 75,75,03.12.2010 09:00:00,10.01.2011 19:36:25,"38 days, 10 hours",3321385000
3183509,38,Variant 76,76,03.12.2010 09:00:00,28.01.2011 20:12:00,"56 days, 11 hours",4878720000
3184844,3,Variant 7,7,06.12.2010 09:00:00,06.12.2010 21:52:33,"12 hours, 52 mins",46353000
3185115,10,Variant 77,77,06.12.2010 09:00:00,18.01.2011 19:44:10,"43 days, 10 hours",3753850000
3185385,42,Variant 78,78,06.12.2010 09:00:00,29.01.2011 09:00:00,54 days,4665600000
3185656,40,Variant 79,79,06.12.2010 09:00:00,15.01.2011 09:00:00,40 days,3456000000
3197505,38,Variant 80,80,07.12.2010 09:00:00,31.01.2011 19:07:52,"55 days, 10 hours",4788472000
3197901,53,Variant 81,81,06.12.2010 09:00:00,26.03.2011 09:00:00,110 days,9504000000
3198296,56,Variant 82,82,06.12.2010 09:00:00,26.01.2015 09:00:00,"4 years, 52 days",130636800000
3203647,53,Variant 83,83,07.12.2010 09:00:00,26.02.2011 09:00:00,81 days,6998400000
3209893,5,Variant 2,2,09.12.2010 09:00:00,14.12.2010 21:21:21,"5 days, 12 hours",476481000
3210182,38,Variant 84,84,14.12.2010 09:00:00,22.02.2011 20:57:51,"70 days, 11 hours",6091071000
3211603,5,Variant 2,2,10.12.2010 09:00:00,15.12.2010 19:22:31,"5 days, 10 hours",469351000
3213258,38,Variant 85,85,10.12.2010 09:00:00,14.01.2011 20:01:51,"35 days, 11 hours",3063711000
3213633,39,Variant 86,86,10.12.2010 09:00:00,16.03.2011 21:19:20,"96 days, 12 hours",8338760000
3213914,40,Variant 87,87,10.12.2010 09:00:00,11.01.2011 21:50:04,"32 days, 12 hours",2811004000
3214285,38,Variant 88,88,14.12.2010 09:00:00,01.02.2011 18:53:17,"49 days, 9 hours",4269197000
3217022,40,Variant 89,89,15.12.2010 09:00:00,11.01.2011 23:26:48,"27 days, 14 hours",2384808000
3218379,52,Variant 90,90,15.12.2010 09:00:00,04.03.2011 18:43:04,"79 days, 9 hours",6860584000
3220065,40,Variant 91,91,15.12.2010 09:00:00,11.01.2011 23:01:16,"27 days, 14 hours",2383276000
3221120,66,Variant 92,92,16.12.2010 09:00:00,10.01.2012 00:46:03,"1 year, 24 days",33666363000
3221649,66,Variant 93,93,16.12.2010 09:00:00,03.11.2012 09:00:00,"1 year, 323 days",59443200000
3229223,38,Variant 94,94,20.12.2010 09:00:00,14.02.2011 19:22:40,"56 days, 10 hours",4875760000
3230988,40,Variant 95,95,20.12.2010 09:00:00,19.02.2011 09:00:00,61 days,5270400000
3231372,40,Variant 96,96,20.12.2010 09:00:00,12.02.2011 09:00:00,54 days,4665600000
3238347,43,Variant 97,97,22.12.2010 09:00:00,22.01.2011 09:00:00,31 days,2678400000
3240799,41,Variant 98,98,24.12.2010 09:00:00,27.01.2011 00:00:56,"33 days, 15 hours",2905256000
3242844,48,Variant 99,99,24.12.2010 09:00:00,28.02.2011 22:43:42,"66 days, 13 hours",5751822000
3243504,40,Variant 100,100,24.12.2010 09:00:00,05.02.2011 09:00:00,43 days,3715200000
3244120,5,Variant 2,2,24.12.2010 09:00:00,29.12.2010 22:41:16,"5 days, 13 hours",481276000
3244596,24,Variant 101,101,23.12.2010 09:00:00,31.08.2011 00:19:43,"250 days, 15 hours",21655183000
3244891,38,Variant 102,102,28.12.2010 09:00:00,23.02.2011 19:44:34,"57 days, 10 hours",4963474000
3245307,38,Variant 103,103,28.12.2010 09:00:00,22.02.2011 19:32:30,"56 days, 10 hours",4876350000
3245596,16,Variant 104,104,28.12.2010 09:00:00,23.05.2012 20:14:28,"1 year, 147 days",44277268000
3246200,38,Variant 105,105,28.12.2010 09:00:00,23.02.2011 18:50:02,"57 days, 9 hours",4960202000
3246462,22,Variant 106,106,28.12.2010 09:00:00,20.09.2011 17:22:43,"266 days, 8 hours",23012563000
3247234,38,Variant 107,107,30.12.2010 09:00:00,23.02.2011 21:03:16,"55 days, 12 hours",4795396000
3251070,40,Variant 108,108,03.01.2011 09:00:00,07.01.2011 09:00:00,4 days,345600000
3252929,41,Variant 109,109,05.01.2011 09:00:00,17.03.2011 03:00:29,"70 days, 18 hours",6112829000
3254260,43,Variant 110,110,05.01.2011 09:00:00,17.01.2011 09:00:00,12 days,1036800000
3263180,59,Variant 111,111,06.01.2011 09:00:00,09.12.2011 18:32:21,"337 days, 9 hours",29151141000
3263480,38,Variant 112,112,06.01.2011 09:00:00,21.02.2011 19:56:01,"46 days, 10 hours",4013761000
3265984,40,Variant 113,113,06.01.2011 09:00:00,05.03.2011 09:00:00,58 days,5011200000
3267734,43,Variant 114,114,07.01.2011 09:00:00,24.01.2011 21:23:34,"17 days, 12 hours",1513414000
3272126,22,Variant 115,115,07.01.2011 09:00:00,15.01.2011 09:00:00,8 days,691200000
3272643,38,Variant 116,116,11.01.2011 09:00:00,16.06.2011 20:19:09,"156 days, 11 hours",13519149000
3277343,53,Variant 117,117,10.01.2011 09:00:00,26.02.2011 09:00:00,47 days,4060800000
3283264,40,Variant 118,118,12.01.2011 09:00:00,12.03.2011 09:00:00,59 days,5097600000
3297683,40,Variant 119,119,13.01.2011 09:00:00,26.03.2011 09:00:00,72 days,6220800000
3298839,48,Variant 120,120,17.01.2011 09:00:00,02.04.2011 08:00:00,"74 days, 23 hours",6476400000
3303563,5,Variant 4,4,16.01.2011 09:00:00,18.01.2011 09:00:00,2 days,172800000
3308383,38,Variant 121,121,17.01.2011 09:00:00,21.02.2011 21:27:05,"35 days, 12 hours",3068825000
3321023,57,Variant 122,122,21.01.2011 09:00:00,30.06.2011 18:06:34,"160 days, 9 hours",13856794000
3321716,46,Variant 123,123,21.01.2011 21:06:11,25.01.2011 20:15:22,"3 days, 23 hours",342551000
3327683,40,Variant 124,124,20.01.2011 09:00:00,05.02.2011 09:00:00,16 days,1382400000
3328387,47,Variant 125,125,21.01.2011 09:00:00,12.04.2011 21:08:08,"81 days, 12 hours",7042088000
