Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
Application_652823628,40,Variant 37,37,01.01.2016 19:51:15,15.01.2016 01:49:11,"13 days, 5 hours",1144676119
Application_1691306052,29,"Variant 2,088",2088,01.01.2016 20:16:11,07.01.2016 23:29:49,"6 days, 3 hours",530018225
Application_428409768,44,"Variant 2,089",2089,01.01.2016 21:19:38,14.01.2016 17:00:14,"12 days, 19 hours",1107636291
Application_1746793196,80,"Variant 2,090",2090,01.01.2016 22:34:53,28.01.2016 22:18:51,"26 days, 23 hours",2331837395
Application_828200680,20,Variant 1,1,01.01.2016 23:00:04,02.02.2016 17:00:20,"31 days, 18 hours",2743216489
Application_1085880569,26,Variant 127,127,01.01.2016 23:05:19,29.02.2016 17:00:48,"58 days, 17 hours",5075728960
Application_1266995739,51,"Variant 2,091",2091,01.01.2016 23:22:19,10.01.2016 01:48:53,"8 days, 2 hours",699993421
Application_1878239836,30,Variant 134,134,01.01.2016 23:35:26,11.01.2016 19:30:53,"9 days, 19 hours",849326587
Application_619403287,33,Variant 13,13,02.01.2016 00:13:16,22.01.2016 18:03:30,"20 days, 17 hours",1792214838
Application_1710223761,22,Variant 3,3,02.01.2016 00:23:21,02.02.2016 17:00:34,"31 days, 16 hours",2738233431
Application_1529124572,42,Variant 358,358,02.01.2016 00:42:36,27.01.2016 19:25:38,"25 days, 18 hours",2227382264
Application_387012864,20,Variant 1,1,02.01.2016 02:00:01,02.02.2016 17:00:36,"31 days, 15 hours",2732435633
Application_1120819670,40,"Variant 1,568",1568,02.01.2016 02:22:50,11.01.2016 19:42:07,"9 days, 17 hours",839956481
Application_42838382,32,Variant 629,629,02.01.2016 02:58:48,29.02.2016 17:01:02,"58 days, 14 hours",5061733670
Application_180547487,56,"Variant 2,092",2092,02.01.2016 03:04:16,12.01.2016 22:56:49,"10 days, 19 hours",935552938
Application_1966208034,24,Variant 10,10,02.01.2016 03:06:50,02.02.2016 17:00:21,"31 days, 13 hours",2728411270
Application_1806387393,35,"Variant 2,093",2093,02.01.2016 03:58:26,11.01.2016 23:19:39,"9 days, 19 hours",847272916
Application_1111870538,24,Variant 10,10,02.01.2016 05:13:17,08.01.2016 19:59:40,"6 days, 14 hours",571583364
Application_1017492916,22,Variant 3,3,02.01.2016 05:18:43,02.02.2016 17:00:27,"31 days, 11 hours",2720503805
Application_2082119944,26,Variant 8,8,02.01.2016 07:14:25,15.01.2016 00:38:04,"12 days, 17 hours",1099418529
Application_758985626,41,Variant 427,427,02.01.2016 07:24:12,22.02.2016 20:14:16,"51 days, 12 hours",4452604544
Application_1018615109,37,Variant 261,261,02.01.2016 07:57:30,22.01.2016 17:55:33,"20 days, 9 hours",1763882852
Application_319587802,44,"Variant 2,094",2094,02.01.2016 11:08:49,25.01.2016 20:13:22,"23 days, 9 hours",2019872614
Application_1846626914,37,Variant 174,174,02.01.2016 18:57:01,13.01.2016 22:28:00,"11 days, 3 hours",963058860
Application_546206358,26,Variant 25,25,02.01.2016 18:57:03,11.01.2016 19:39:35,"9 days, 42 mins",780151592
Application_196483749,29,"Variant 2,095",2095,02.01.2016 19:12:07,29.02.2016 17:01:05,"57 days, 21 hours",5003337792
Application_1363980603,22,Variant 162,162,02.01.2016 19:24:04,07.01.2016 23:32:04,"5 days, 4 hours",446880309
Application_1553362978,30,"Variant 2,096",2096,02.01.2016 19:27:03,29.02.2016 17:01:06,"57 days, 21 hours",5002442615
Application_1197857445,34,"Variant 2,097",2097,02.01.2016 19:33:11,27.02.2016 17:15:59,"55 days, 21 hours",4830167848
Application_931862671,30,Variant 256,256,02.01.2016 20:15:48,02.02.2016 05:18:40,"30 days, 9 hours",2624572160
Application_2012588584,47,"Variant 2,098",2098,02.01.2016 20:26:22,27.01.2016 19:56:56,"24 days, 23 hours",2158234399
Application_1825972191,60,"Variant 2,099",2099,02.01.2016 21:06:39,18.02.2016 01:49:47,"46 days, 4 hours",3991388214
Application_1059184025,40,"Variant 2,100",2100,02.01.2016 21:10:04,09.01.2016 02:05:47,"6 days, 4 hours",536143275
Application_1395142997,37,"Variant 2,101",2101,02.01.2016 21:23:37,15.01.2016 21:58:18,"13 days, 34 mins",1125281700
Application_2015287405,26,Variant 49,49,02.01.2016 21:27:01,29.02.2016 17:01:20,"57 days, 19 hours",4995258621
Application_1193723578,46,"Variant 2,102",2102,02.01.2016 21:32:06,15.01.2016 01:16:16,"12 days, 3 hours",1050250039
